A1,A2,A3,A4,A5,A6,B1,B1_1,B1_2,B1_3,B1_4,B1_5,B2,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,C1,C2,C3,D1,D2,E1,E2
male,18-34,secondary,low,region3,Urban,,FALSE,FALSE,FALSE,FALSE,FALSE,1 4 7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,3,3,99,40,Neutral,I really enjoy meeting up with friends and would recommend it
male,35-54,secondary,middle,region1,Rural,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,1 4 6,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,5,1,44,34,NA,I really enjoy meeting up with friends and find it rewarding
female,35-54,tertiary or higher,low,region1,Rural,2 3 4,FALSE,TRUE,TRUE,TRUE,FALSE,3 6 7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,3,2,52,12,Dissatisfied,I would say reading in my spare time as much as I can
male,18-34,tertiary or higher,low,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,3 5 8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,3,3,77,43,Neutral,I often find myself cooking at home and would recommend it
male,35-54,secondary,high,region1,Rural,5,FALSE,FALSE,FALSE,FALSE,TRUE,2 5 6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,4,80,13,NA,Personally I think managing my schedule though it can be difficult
female,18-34,tertiary or higher,high,region3,Urban,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,3 6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,2,4,99,25,Strongly dissatisfied,I really enjoy meeting up with friends as much as I can
male,35-54,secondary,high,region3,Urban,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,2 6 7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,3,1,56,36,Dissatisfied,I would say meeting up with friends whenever possible
female,18-34,tertiary or higher,middle,region1,Rural,3 4 5,FALSE,FALSE,TRUE,TRUE,TRUE,6 7 8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,5,1,102,37,NA,Personally I think spending time with family and would recommend it
male,18-34,tertiary or higher,low,region3,Urban,2 4,FALSE,TRUE,FALSE,TRUE,FALSE,2 5 8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,3,1,79,48,Neutral,I often find myself staying on top of my health and would recommend it
male,18-34,primary,middle,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,5 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,2,5,86,28,Strongly dissatisfied,Most of the time I reading in my spare time though it can be difficult
female,35-54,secondary,low,region2,Rural,3,FALSE,FALSE,TRUE,FALSE,FALSE,3 4 6,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,1,2,74,18,Neutral,I really enjoy meeting up with friends when time allows
male,18-34,secondary,middle,region2,Rural,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,5 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,3,3,92,46,NA,I often find myself reading in my spare time when time allows
male,18-34,secondary,middle,region2,Rural,4 5,FALSE,FALSE,FALSE,TRUE,TRUE,1 4 7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,4,3,104,36,NA,I often find myself reading in my spare time though it can be difficult
female,35-54,secondary,low,region2,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,6 7 8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,5,2,60,32,Strongly dissatisfied,I often find myself learning new things though it can be difficult
female,18-34,tertiary or higher,low,region2,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,1 4 7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,4,3,88,37,Neutral,Personally I think learning new things and would recommend it
male,35-54,tertiary or higher,high,region1,Rural,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,4 5 8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3,2,4,75,27,NA,I really enjoy keeping active outdoors when time allows
male,18-34,secondary,high,region1,Rural,,FALSE,FALSE,FALSE,FALSE,FALSE,4 5 7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,3,3,97,39,Neutral,I would say travelling when I can as much as I can
female,18-34,secondary,middle,region3,Urban,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,2 4 5,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5,3,4,112,34,NA,Personally I think learning new things whenever possible
female,18-34,tertiary or higher,high,region3,Urban,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,2 6 7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,3,2,93,36,Dissatisfied,I really enjoy learning new things and find it rewarding
male,18-34,tertiary or higher,low,region1,Rural,1,TRUE,FALSE,FALSE,FALSE,FALSE,5 7 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,3,1,94,37,NA,In my experience cooking at home as much as I can
male,18-34,secondary,middle,region1,Rural,4 5,FALSE,FALSE,FALSE,TRUE,TRUE,2 7 8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,3,3,85,39,NA,I would say managing my schedule when time allows
female,18-34,secondary,middle,region3,Urban,1 2 3,TRUE,TRUE,TRUE,FALSE,FALSE,3 6 8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,4,2,101,40,Strongly dissatisfied,I often find myself managing my schedule though it can be difficult
male,18-34,secondary,high,region3,Urban,4,FALSE,FALSE,FALSE,TRUE,FALSE,1 2 5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,5,69,36,Dissatisfied,I really enjoy spending time with family more than I used to
male,55+,secondary,low,region3,Urban,5,FALSE,FALSE,FALSE,FALSE,TRUE,5 7 8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,2,3,58,8,NA,Personally I think keeping active outdoors whenever possible
female,35-54,secondary,low,region3,Urban,1 4 5,TRUE,FALSE,FALSE,TRUE,TRUE,2 6 8,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,4,4,93,21,Dissatisfied,Most of the time I learning new things whenever possible
female,55+,secondary,low,region1,Rural,1 3,TRUE,FALSE,TRUE,FALSE,FALSE,2 3 6,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,4,5,55,13,Dissatisfied,Most of the time I cooking at home though it can be difficult
female,18-34,secondary,middle,region2,Rural,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,3 4 6,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5,5,1,106,28,Neutral,In my experience travelling when I can even if it takes effort
male,18-34,secondary,middle,region3,Urban,1 3 5,TRUE,FALSE,TRUE,FALSE,TRUE,1 2 5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,4,4,82,35,Neutral,I would say meeting up with friends and find it rewarding
female,18-34,secondary,high,region1,Rural,1 3 4,TRUE,FALSE,TRUE,TRUE,FALSE,3 6 8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,3,4,108,31,NA,Personally I think reading in my spare time on a regular basis
